CommentId,VideoId,Text,IsToxic,IsAbusive,IsThreat,IsProvocative,IsObscene,IsHatespeech,IsRacist,IsReligiousHate
Ugg2KwwX0V8-aXgCoAEC,04kJtp6pVXI,if only people would just take a step back and not make this case about them because it was not about anyone except the two people in that situation to lump yourself into this mess and take matters into your own hands makes these kinds of protests selfish and without rational thought and investigation the guy in this video is heavily emotional and hyped up and wants to be heard and when he gets heard he just presses more and more he was never out to have a reasonable discussion kudos to the smerconish for keeping level the whole time and letting masri make himself out to be a fool how dare he and those that tore that city down in protest make this about themselves and to dishonor the entire incident with their own hate by the way since when did police brutality become an epidemic i wish everyone would just stop pretending like they were there and they knew exactly what was going on because there no measurable amount of people that honestly witnessed this incident so none of us have a clue on which way this whole issue should have swung the grand jury were the most informed we have to trust the majority rule was the right course of action and let it be also thank you to the   of police officers in america that actually serve protect even if you are a bit of a jerk when you pull me over i respect your job and know that someone has to do it and that many people are going to pout about being held accountable to their actions people hate police until they need an officer or two around in an emergency,False,False,False,False,False,False,False,False
Ugg2s5AzSPioEXgCoAEC,04kJtp6pVXI,law enforcement is not trained to shoot to apprehend they are trained to shoot to kill and i thank wilson for killing that punk bitch,True,True,False,False,False,False,False,False
Ugg3dWTOxryFfHgCoAEC,04kJtp6pVXI,dont you reckon them black lives matter banners being held by white cunts is kinda patronizing and ironically racist could they have not come up with somethin better or is it just what white folks do to give them selves pride ooo look at me im being nice for the black people why does it always have to be about race actually the whole world is pussyfootin around for fear of being racist its fuckin daft man,True,True,False,False,True,False,False,False
Ugg7Gd006w1MPngCoAEC,04kJtp6pVXI,there are a very large number of people who do not like police officers they are called criminals and its the reason we have police officers the fact that criminals do not like police officers is a testament to the good work that police officers do in protecting the public when our children or our family are in danger we do not hessitate to call for help and we call the police its about time people stopped complaining and started to give the police some respect for the hard work and dedication that often requires them to put their lives on the line to serve the public,False,False,False,False,False,False,False,False
Ugg8FfTbbNF8IngCoAEC,04kJtp6pVXI,the arab dude is absolutely right he should have not been shot  extra time shoot him once if hes attacking you and that would stop his attack shoot him twice if he still attacking you but six times that is shoot to kill in my opinion,False,False,False,False,False,False,False,False
Ugg9a6FtoXdxmXgCoAEC,04kJtp6pVXI,here people his facebook is https www facebook com bassem masri  he has ties with isis and other terrorist groups he is a muslim extremist,True,False,False,False,False,True,False,True
Ugga9KzkNDGvlXgCoAEC,04kJtp6pVXI,check out this you tube post black man goes on an epic rant against ferguson rioters although his message is delivered with childish cartoon ish emotions he is one of the very few african american who gets it,True,False,False,False,False,True,True,False
UggBlIXoph7p-3gCoAEC,04kJtp6pVXI,i would love to see this pussy go to staten island and spit on a cop i would love to see it happen mike brown was a strong arm thug and people are burning ferguson down eric garnier did nothing wrong and was choked to death no protest on mafia controlled staten island no burning cars nothing,True,True,False,False,True,True,True,False
UggD1aYSn7KOR3gCoAEC,04kJtp6pVXI,i agree with the protestor,False,False,False,False,False,False,False,False
UggGm8a1fu8brngCoAEC,04kJtp6pVXI,mike browns father was made to say that boooshit,True,True,False,False,True,False,False,False
UggguNlx1Uu89HgCoAEC,04kJtp6pVXI,the guy on the right is so on point do not judge on his speaking abilities but judge him on his messege you racist fucks can suck my dick and like always the media focusing on the thing that do not matter cnn is shit,True,True,False,False,True,False,False,False
UggHKcxZ-FvsJ3gCoAEC,04kJtp6pVXI,moral of the story do not reach for a cops gun because you are probably gunna get shot white or black,False,False,False,False,False,False,False,False
UggLbJp619j8BHgCoAEC,04kJtp6pVXI,masri is about as close as you can get to isis in america,True,True,False,False,False,False,False,False
UggMY2Oggks5LngCoAEC,04kJtp6pVXI,we all know with the chimpers there is no compassion in their mud pumping hearts,True,False,False,False,False,True,True,False
UggNrFQh7L5JuXgCoAEC,04kJtp6pVXI,i can believe whatever i wanna believe i do not care what any of them have to say bassem masri you are an idiot,True,True,False,False,False,False,False,False
UggPT9Z38D5yt3gCoAEC,04kJtp6pVXI,bassem masri is a terrorist part of isis,True,False,False,False,False,True,False,True
UggRCZiMOIRLg3gCoAEC,04kJtp6pVXI,i would nt waist my time trying to reason with this police spitting thug trying to defend criminal brown is a losing matter the grand jury has made they are decision live with it,True,True,False,True,False,False,False,False
UggSYiWItbnmgngCoAEC,04kJtp6pVXI,i wish mr masri was dead,True,True,False,False,False,False,False,False
Uggt6lvUxwS-7XgCoAEC,04kJtp6pVXI,thus with a collapse of the usa only two possibilities can be considered whereby with the one it boils down to a dictatorship with evil reprisals while the other possibility may be a new reconstruction if people who are fundamentally conscious of their responsibilities attain government and really do everything to bring about an effective and valuable new start but whether this will actually occur is currently extremely questionable because presently in a totalitarian manner everything is directed towards interests which are economic military political and cultural as well as towards that which is strict fundamentalist religious sectarian and based on enormous lies and devious misanthropic criminal and felonious machinations in every imaginable regard this also means that the population of the usa is spied upon by the secret services and even severely within the neighbourhoods and so forth and in every possible manner being restricted in its freedom and this is in addition to the violence as it emerges in some form or other both openly and covertly,False,False,False,False,False,False,False,False
Uggte-vb2ZLTQ3gCoAEC,04kJtp6pVXI,you actually can shout fire in a crowded theater christopher hitchens demonstrated this in his talk about free speech look it up the interviewee is correct cops serve the public not the other way around and it is consistent with serving that public that the police department represent that public race and ethnicity in its ranks hire a bunch of big tough black guys to the police department and you will have fewer blacks being shot to death by a puny white guy who felt humiliated when he got bitch slapped by a teenager,True,True,False,False,True,False,False,False
UggtH27r-TTcZHgCoAEC,04kJtp6pVXI,i think he kill him,True,True,False,False,False,False,False,False
UggtknH4gMWWfXgCoAEC,04kJtp6pVXI,legalize marijuana then problems will stop,False,False,False,False,False,False,False,False
Ugg-ucO02B7XO3gCoAEC,04kJtp6pVXI,word provocateur,False,False,False,False,False,False,False,False
UgguFITdgu455HgCoAEC,04kJtp6pVXI,lol this is what happens when the greedy rich slime keep the masses uneducated ignorant now deal with the stupid that you created trying to reason with the irrational is an exercise in futility get the popcorn ready bc it about to boil over if you fall for the talk you will fall just walking,True,True,False,False,False,False,False,False
UggwBWh5il3cfXgCoAEC,04kJtp6pVXI,the legal system is inherently racist same as this cnn reporter,True,True,False,False,False,False,False,False
UggWg1MBoBR7x3gCoAEC,04kJtp6pVXI,he looks ready to cut heads off he must be a isis sympathizer and i am going to say maybe  care about the issue at hand and other  just want to go loot stores and fuck shit up,True,False,False,False,False,True,False,True
UggxCL2J1VOhLHgCoAEC,04kJtp6pVXI,lol shoot to apprehend he is an idiot,True,True,False,False,False,False,False,False
UggY2U73L3toO3gCoAEC,04kJtp6pVXI,this case has overshadowed the cops that murdered a kid with a fake sword in saratoga springs utah i am just as much outraged by the mike brown case the murder that happened in utah was just about the same deal cops are provided with non lethal weapons the shooting in utah unwarranted because he ran do not know why he ran but if you lunged at the police with the fake sword you should have taken that opportunity for immediate action right then he ran and was shot  times in the back we know a large group of cops are corrupt and these murderers are nothing new though i have ran from the police many times when i was in my teens cops just pursue and find him hiding some where not just put  bullets in the back ending a life they said in some paper saratoga springs has about  of black population i have been through there and i would say they were off by about,False,False,False,False,False,False,False,False
Uggy6MHKQWnfo3gCoAEC,04kJtp6pVXI,this man is a zionist jew look at ypu can see the jewnesss in his face cnn only employ zionist sympathisers and neo con racists and wolf blitzer is the emplpyeee,True,False,False,False,False,True,True,False
UggyCKjvUlfBYHgCoAEC,04kJtp6pVXI,there is blood on the street but you are worried about words we are all getting very tired with the way mainstream media is treating us like idiots who will follow their condescending irrelevant distracting disparaging narrative step up cnn,False,False,False,False,False,False,False,False
UggYHsvinXkgM3gCoAEC,04kJtp6pVXI,stop being criminals and you wont get shot that simple,True,True,False,True,False,False,False,False
UggyJcZ89cWxUngCoAEC,04kJtp6pVXI,i like turtles,False,False,False,False,False,False,False,False
Ugh0tf8ZI_s6z3gCoAEC,04kJtp6pVXI,massri needs an education,True,True,False,False,False,False,False,False
Ugh1YgMkYS1iingCoAEC,04kJtp6pVXI,cnn mother fuckers fuck you peace of shit,True,True,False,False,True,False,False,False
Ugh4DQdAIl3qUXgCoAEC,04kJtp6pVXI,hers my statement i think ali sheep butt fucker masri should take an ak and go fight in syria,True,True,False,True,True,True,True,False
Ugh6foWeFvORtXgCoAEC,04kJtp6pVXI,hahahahaha this guy is ed bassmaster character always teste ed bassmaster has a semi retarded character who is cross eyed just like this guy,True,True,False,False,False,False,False,False
Ugh8Z3_R5r7iungCoAEC,04kJtp6pVXI,how do these childish cops sleep at night,False,False,False,False,False,False,False,False
UghANuDr-RLrqXgCoAEC,04kJtp6pVXI,a completely idiot having his minutrs of fame,True,True,False,False,False,False,False,False
UghBkatZ4WY1uXgCoAEC,04kJtp6pVXI,i hope to god you guys is still not falling for the same ol banana in the tailpipe bullshit news that they are giving you,True,True,False,False,False,False,False,False
UghBYihvgoUqcHgCoAEC,04kJtp6pVXI,cnn is such bullcrap,True,True,False,False,False,False,False,False
UghcKD-yV_JR5XgCoAEC,04kJtp6pVXI,alright this entire case is crap all of these people who are saying that white people are being racist and calling them bad names is just as racist as you would like to call it as us there have been extensive investigations that prove that this boy death was out of self defense however i am not defending the whole kkk thing but i am defending the helpless citizens of ferguson this boy died i do not care if he was white or black what i do care about is how the people in ferguson are treating their town if they really cared about this incident they would hold memorials to express their feelings this is not helping themselves get justice what really matters is that this boy is dead something has been done about it the grand jury has decided can it just be over,False,False,False,False,False,False,False,False
UghcMPVXe6XJengCoAEC,04kJtp6pVXI,this guy does not know what happened he did not have his hands up,False,False,False,False,False,False,False,False
UghCqsUPSUHkF3gCoAEC,04kJtp6pVXI,ayy cnn are lookin like pussies,True,True,False,False,True,False,False,False
UghEcCSj9amFtXgCoAEC,04kJtp6pVXI,smirconnish is the most even handed guy in the world this guy masri is an idiot,True,True,False,False,False,False,False,False
UgheEXayk90xIngCoAEC,04kJtp6pVXI,masri is a total idiot i do not have to know the evidence i can just come to my own conclusions instead here is a clue dont attack a cop and try to take his gun and then rush him after he finally gets out of his car and you wont get shot duhhh so what would masri do take brown out for a icecream as he is beating him into the ground and not defend himself btw browns momma and gramma violently assaulted some people who were selling t shirts in memory of brown and put two people in the hospital stole their money and trashed their shop and will probably be charged for it so we all know what sort of mentality brown was raised in and he was a thug wanna be who caused his own death,True,True,False,False,False,True,True,False
UghHgshwzX7053gCoAEC,04kJtp6pVXI,he had to take a break because bassem was making too much sense for him to debate further,False,False,False,False,False,False,False,False
UghIBNvkzZh-xHgCoAEC,04kJtp6pVXI,let reverse the rolls black racist cops in rich white communities but you cannot prove there racist when a white man gets pissed off at this intolerable condition we unload several clips of high caliber ammo at point blank range for his audacity at questioning authority all americans need to be on full alert of this elitist agenda to set presidents of questioning authority the elitist upper class is the problem prison culture cia drug cartels exporting jobs and importing cheap labor while the elitist get bailed out and support this corrupt system we can turn this around when we c get past the race issue the govt incites to divide the working class but you can hardly call it a working class because the govt put everyone out of work we are more of a homeless class let us not for get western history and the role big money plays in this clusterfuck designed to destroy a nation that is destroyed at this point we can get it back ask me how,True,False,False,False,False,True,True,False
UghICkPqoL9jJ3gCoAEC,04kJtp6pVXI,this moron is talking about being peaceful their burning the nation flag idiot even though that what you are suppose to do when it old so they have no knowledge they are babies making noise,True,True,False,False,False,False,False,False
UghKXFnZ33ZOSXgCoAEC,04kJtp6pVXI,this is a cia agent provocateur operative to kick start the riots of the new american civil war he not african american but his rehearsed ebonics is transparent,False,False,False,False,False,False,False,False
UghlkAzZr3_fI3gCoAEC,04kJtp6pVXI,can someone shoot this black idiot too that would make me giggle inside,True,True,False,True,False,True,True,False
Ughm_dpizWFohHgCoAEC,04kJtp6pVXI,you people are sick this man is speaking the truth and y all are just mad trying to justify why a young boy who did nothing was shot and killed smh y all are the devil and a disease to this earth i will be glad when the sun burns all your asses into extinction and we can have our planet back half animal half devil cave beasts,True,True,False,True,True,False,False,False
UghmRzgOUqMozXgCoAEC,04kJtp6pVXI,the world is changing im mad at the police too but id be dam if isis gonna come in here thats when its time to kill these faucks,True,True,True,True,False,True,False,True
Ughn17bxW7f5QXgCoAEC,04kJtp6pVXI,cnn is propaganda for the most part and people let them hear it in ferguson too,False,False,False,False,False,False,False,False
Ughnjn7WwwIgbHgCoAEC,04kJtp6pVXI,what a waste of time talking to that idiot you know what im sayin i will believe what i want to believe yup hell with facts or evidence loser,True,True,False,False,False,False,False,False
UghnzyBgv-jQ9ngCoAEC,04kJtp6pVXI,news fucktards puppet players all they are paid liars,True,True,False,False,False,False,False,False
UghofW5VYVB8n3gCoAEC,04kJtp6pVXI,bassem has the right to express himself we have freedom of expression we all have that right its an amendment of the constitution i dont think cnn is that competent after all,False,False,False,False,False,False,False,False
UgholOxRzEdkW3gCoAEC,04kJtp6pVXI,does this guy riot before or after work orrrr let me guess he fucks off all day doing nothing,True,True,False,False,False,False,False,False
UghOm2iqM9-AYngCoAEC,04kJtp6pVXI,mr masri is  right could not say it any better myself,False,False,False,False,False,False,False,False
UghOrBUXagc6J3gCoAEC,04kJtp6pVXI,can anyone tell me why it is racist if a white man shoots a black man is it not racist when black man shoots a white man why do these cases turn instantly into racist ones it makes no sense,False,False,False,False,False,False,False,False
UghP0v4pSXeRY3gCoAEC,04kJtp6pVXI,racial profiling and police intimidation he robbed a store and got killed as a result fucking excuses man black people should not have to get arrested when they commit a strong arm robbery when black people get violent they should not have to fear getting put down like an animal he actually said we should not have to worry about warrants lol fucking piece of human garbage,True,True,False,False,False,False,False,False
UghPM1HvcyCWxHgCoAEC,04kJtp6pVXI,wrong mother fucker no shoot to apprehend,True,True,False,False,True,False,False,False
UghpqNHDIz3pMngCoAEC,04kJtp6pVXI,black and white crimes seems to be big topic in us after ferguson case i just came here to brag about finnish cops that used firearm  times last year  time towards human  times to warn  times to kill wounded animal  million ppl here and   gun per capita,False,False,False,False,False,False,False,False
UghpY-GpHN0YpngCoAEC,04kJtp6pVXI,and the heading reads when the protesters take it too far,False,False,False,False,False,False,False,False
UghR9QQYvJx-RHgCoAEC,04kJtp6pVXI,this muslim man does not have anything in mind of peace he wants to stir up dissonance and trouble among americans by using racist accusations that is his man goal,True,False,False,False,False,True,False,True
UghRKLaioSvLOHgCoAEC,04kJtp6pVXI,add another imbecile to the bunch reporter is a incompetent bastard,True,True,False,False,False,False,False,False
UghRygE9vO9A83gCoAEC,04kJtp6pVXI,this interviewer is right this guy should show some respect to the paramilitary police that are killing and getting away with it ha,True,True,False,True,False,False,False,False
Ughs3w350i3DvXgCoAEC,04kJtp6pVXI,you all are some dumb as people,True,True,False,False,False,False,False,False
UghTCrl4YYJ-qHgCoAEC,04kJtp6pVXI,bassem i think walmart is hiring for the holidays get a job loser,True,True,False,False,False,False,False,False
UghtQ_3FOmw6W3gCoAEC,04kJtp6pVXI,teen faces life in prison for pot brownies  year old man gets arrested for feeding the poor police officer is set free with no charges whatsoever for killing a teenager do not you people see how wrong this is,False,False,False,False,False,False,False,False
UghTxr-iist_7ngCoAEC,04kJtp6pVXI,you know what i am sayin wow,False,False,False,False,False,False,False,False
UghVbr3QCu8ckngCoAEC,04kJtp6pVXI,yeah you are right  white shot a black all hell break lose black shot black no protest maybe if they start doing protest on black shotting black you can buy in thier story,True,False,False,False,False,True,True,False
UghVVDZrCYMG_3gCoAEC,04kJtp6pVXI,lets steal from a convenience store then lets go and punch a cop in the face and get shot  times then lets get all the black people and white apologists to run around the street setting buildings on fire fucking dirty gutter rats all living on welfare and causing violence just look where the rest of black people live on the dirties ebola plague ridden continent lucky white countries can come over and cure their dumb asses,True,False,False,False,False,True,True,False
UghvxEUB679Ug3gCoAEC,04kJtp6pVXI,i am with this dude fuck the punk police,True,True,False,False,True,False,False,False
UghWdXOwEJc0eHgCoAEC,04kJtp6pVXI,what a stupid arab police shoot to apprehend lmao that not how it works when they are being attacked,True,False,False,False,False,True,True,False
UghWm5GCsm7byXgCoAEC,04kJtp6pVXI,plain n simple truth,False,False,False,False,False,False,False,False
UghY8Jytv5XqC3gCoAEC,04kJtp6pVXI,lmfao why is this dude taking like that _ i hear him talking but i do not know what he saying smh,False,False,False,False,False,False,False,False
UghyTs2sJC_jSXgCoAEC,04kJtp6pVXI,i do understand their anger but war is not the answer,False,False,False,False,False,False,False,False
Ughzp24D_j0sw3gCoAEC,04kJtp6pVXI,iz did not do nuffinz,False,False,False,False,False,False,False,False
Ugi0Cfb82xGsongCoAEC,04kJtp6pVXI,what an ignorant coward full of emotion estrogen and apathy and where the hell did you come from fuckin racially ambiguous blackwashed loudmouth they really chose a pathetic man to interview,True,True,False,True,False,True,True,False
Ugi1CjkwLYHcvHgCoAEC,04kJtp6pVXI,that motherfucker was angry and i understand why,True,True,False,False,True,False,False,False
Ugi2H0FCe-_y4ngCoAEC,04kJtp6pVXI,let get this straight and present the facts as the mass media should have from the beginning  yr old by all legal aspects an adult robs a convince store the criminal later flees the seen and is aprehended by the police resists arrest and altercation occurs between the two the police as in every case similar to this uses force criminal is killed the killing goes to court a randomly selected jury views all the evidence and hears out all witnesses which pertain to the case radom jury reaches unanimous verdict of not guilty im sorry protestors i cannot here over all this democracy,True,True,False,True,False,False,False,False
Ugi3AdgMRYrQUHgCoAEC,04kJtp6pVXI,do any of these protestors work for a living where do they get the time to do all this,False,False,False,False,False,False,False,False
Ugi8SNusKxJjQXgCoAEC,04kJtp6pVXI,if people would obey the law like normal human beings this would never happen winner,False,False,False,False,False,False,False,False
UgiBmDegoK7fvHgCoAEC,04kJtp6pVXI,no indictment moving right along,False,False,False,False,False,False,False,False
UgiBZnwqmnNYUXgCoAEC,04kJtp6pVXI,if you act like animals you get treated like animals,True,False,False,False,False,True,True,False
Ugif7J_LQBVe_HgCoAEC,04kJtp6pVXI,michael smerconish hack,False,False,False,False,False,False,False,False
Ugi-hbdDmIuKVHgCoAEC,04kJtp6pVXI,sure they totally looked at factual evidence during that trial more like special treatment but hey we all knew that was going to happen did not we,True,True,False,True,False,False,False,False
Ugi-HtibDw0eongCoAEC,04kJtp6pVXI,you tellin me if he did in fact steal swisher sweets is the value of his life just admit you all are racist quit being a bunch of faggott bitches,True,True,False,False,False,False,False,False
UgiIASdSnR-gi3gCoAEC,04kJtp6pVXI,proof blacks are not victims  statistically cops kill more whites than blacks yet whites see them as necessary because they save more lives than they cost while places like ferguson lose their minds  statistically  of murdered blacks are killed by other blacks with whites consisting of  of the murderers and  being the other races  whites were enslaved by blacks first and for over  years this was when europeans the same race that started america and later enslaved africans began searching north africa to establish trade of goods between natives from the  to the late  whites were enslaved first later the tables turned this boys and girls is called karma  statistically over  of murders in the us alone are from blacks despite them making up only   of the entire us population while despite whites make up  of the us population they only make up  of the murders  whites make up  of welfare recipients with blacks making up  this does not seem extreme until you realize that  blacks consists of that   whith that  whites making up  of the us meaning each individual black person is about  times as likely than whites to use welfare,True,False,False,False,False,True,True,False
UgiId66Fu7KrDXgCoAEC,04kJtp6pVXI,white man cannot finish his sentence america needs to wake up the truth of murder is there,True,True,False,False,False,True,True,False
UgiifTZEiDlZJ3gCoAEC,04kJtp6pVXI,i will be sure to avoid getting in this guy taxi cab,False,False,False,False,False,False,False,False
UgiiIyWpe1-9H3gCoAEC,04kJtp6pVXI,fuck media bassem was right find something real to investigate you are just exaggerating because you want more views and more money fuck you selfish fucks these people are disgusting i do not know how they bare with their nasty selves,True,True,False,True,True,False,False,False
UgijB5AT7Ka-rngCoAEC,04kJtp6pVXI,cnn youse guys going too far i will tell you what you doing so that bad is going to happen very bad it all going to benefit you i do not care how much money you have ellen and better for you to be like all the rest was be careful what you put out there you put russia in between this be careful we have kids,False,False,False,False,False,False,False,False
UgiKFJ8QuPBoQXgCoAEC,04kJtp6pVXI,this guy here he needs to grow up,False,False,False,False,False,False,False,False
